Date,Open,High,Low,Close,Volume
2010-01-04,1882.69,1890.02,1881.63,1886.7,332996552
2010-01-05,1887.28,1891.33,1877.52,1888.43,408251724
2010-01-06,1887.91,1893.21,1873.9,1878.42,388506897
2010-01-07,1878.16,1881.33,1867.62,1876.72,391387931
2010-01-08,1870.9,1893.25,1868.55,1892.59,369894828
2010-01-11,1896.05,1897.49,1876.25,1886.24,358256897
2010-01-12,1874.75,1876.37,1852.31,1861.79,408331034
2010-01-13,1868.2,1890.81,1855.27,1886.13,399715517
2010-01-14,1880.46,1891.73,1880.35,1886.52,388650000
2010-01-15,1887.31,1893.48,1857.11,1864.52,454787931
2010-01-19,1869.24,1896.54,1868.83,1895.48,352636207
2010-01-20,1882.06,1882.31,1848.09,1867.95,405498276
2010-01-21,1874.54,1885.01,1842.86,1850.57,496172414
2010-01-22,1842.11,1849.21,1791.4,1794.82,485796552
2010-01-25,1806.6,1813.65,1794.68,1802.39,367991379
2010-01-26,1798.36,1825.95,1792.04,1803.86,407113793
2010-01-27,1801.67,1823.8,1790.1,1818.9,429806897
2010-01-28,1805.64,1805.85,1762.1,1771.1,487868966
2010-01-29,1787.14,1789.93,1734.03,1741.04,532858621
2010-02-01,1745.91,1760.72,1744.26,1760.72,385196552
2010-02-02,1760.65,1780.17,1750.39,1776.92,425598276
2010-02-03,1767.14,1787.89,1766.6,1784.7,397129310
2010-02-04,1771.78,1775.37,1732.99,1732.99,482998276
2010-02-05,1739.19,1748.77,1712.89,1746.12,484672414
2010-02-08,1744.02,1755.65,1734.12,1734.88,351082759
2010-02-09,1756.28,1768.58,1739.24,1753.84,395934483
2010-02-10,1752.46,1760.61,1738.46,1749.76,355162069
2010-02-11,1747.55,1780.05,1739.02,1775.74,369182759
2010-02-12,1761.29,1783.7,1756.65,1779.11,385548276
2010-02-16,1792.9,1802.48,1782.73,1802.06,357387931
2010-02-17,1808.55,1811.2,1799.25,1810.86,362677586
2010-02-18,1809.01,1825.82,1806.76,1823.39,358072414
2010-02-19,1816.94,1830.38,1813.08,1823.32,373562069
2010-02-22,1828.69,1829.18,1811.52,1817.63,340739655
2010-02-23,1815.43,1817.96,1786.46,1793.82,398432759
2010-02-24,1803.29,1819.5,1801.04,1812.51,371691379
2010-02-25,1791.15,1815.94,1781.12,1812.91,396643103
2010-02-26,1812.24,1822.2,1804.09,1818.68,393694828
2010-03-01,1826.62,1848.1,1826.61,1846.4,431886207
2010-03-02,1851.79,1862.64,1847.03,1851.21,488253448
2010-03-03,1854.71,1861.15,1846.22,1851.57,448881034
2010-03-04,1852.7,1860.76,1844.92,1859.72,376900000
2010-03-05,1871.62,1889.68,1869.1,1888.56,415841379
2010-03-08,1888.04,1894.75,1887.66,1890.89,398674138
2010-03-09,1885.99,1911.38,1885.99,1901.38,451786207
2010-03-10,1901.24,1920.66,1901.11,1917.35,440472414
2010-03-11,1911.07,1923.81,1908.39,1923.81,389101724
2010-03-12,1930,1930.17,1916.41,1924.43,361858621
2010-03-15,1918.14,1924.49,1906.01,1920.09,337270690
2010-03-16,1924.27,1933.96,1918.98,1932.24,379634483
2010-03-17,1934.65,1945.9,1930.91,1936.22,393346552
2010-03-18,1937.63,1945.28,1934.17,1943.94,374665517
2010-03-19,1943.96,1949.14,1924.72,1932.43,526855172
2010-03-22,1922.73,1956.48,1921.71,1949.59,422091379
2010-03-23,1952.54,1964.14,1943.25,1963.2,425039655
2010-03-24,1956.63,1958.6,1948.85,1951.84,420017241
2010-03-25,1966.56,1976.38,1948.5,1949.15,466356897
2010-03-26,1958.27,1965.52,1942.21,1952.63,408263793
2010-03-29,1960.63,1968.43,1956.6,1961.22,339284483
2010-03-30,1966.51,1974.47,1955.22,1967.96,370218966
2010-03-31,1962.17,1969.9,1955.15,1958.34,408394828
2010-04-01,1968.44,1979.49,1943.97,1959.56,403494828
2010-04-05,1964.03,1981.07,1958.01,1977.83,367300000
2010-04-06,1971.09,1988.04,1968.17,1981.95,382825862
2010-04-07,1980.2,1987.34,1967.14,1977.3,514629310
2010-04-08,1972.82,1984.9,1962.04,1980.73,418775862
2010-04-09,1984.01,1994.48,1978.09,1994.43,381987931
2010-04-12,1995.35,2000.56,1990.78,1995.65,372698276
2010-04-13,1994.34,2006.51,1986.83,2003.81,459555172
2010-04-14,2015.61,2029.06,2012.98,2028.82,541943103
2010-04-15,2027.92,2040.49,2027.52,2038.64,489768966
2010-04-16,2030.34,2037.47,2000.77,2012.84,510508621
2010-04-19,2011.4,2018.93,1988.37,2013.53,383387931
2010-04-20,2025.04,2027.44,2009.55,2023.6,371913793
2010-04-21,2037.15,2040.83,2021.72,2034.53,468258621
2010-04-22,2016.49,2047.11,2002.97,2045.16,482903448
2010-04-23,2042.8,2055.63,2036.99,2055.33,433967241
2010-04-26,2054.84,2059.42,2045.64,2049.09,429489655
2010-04-27,2040.43,2049.9,2001.02,2006.25,493932759
2010-04-28,2016.52,2017.92,1991.95,2007.59,475032759
2010-04-29,2020.51,2045.86,2019.32,2042.89,529248276
2010-04-30,2040.58,2044.39,2000.26,2000.63,489850000
