日期,开盘,收盘,最高,最低
2010/1/4,16.61,16.52,16.69,16.45
2010/1/5,16.51,16.38,16.61,16.17
2010/1/6,16.38,16.18,16.38,16
2010/1/7,16.18,16.4,16.51,16
2010/1/8,16.21,16.61,16.62,16.1
2010/1/11,16.6,17.05,17.19,16.51
2010/1/12,17.07,17.1,17.2,16.75
2010/1/13,16.8,17.21,17.38,16.7
2010/1/14,17.25,17.53,17.73,17.06
2010/1/15,17.53,17.32,17.62,17.24
2010/1/18,17.29,17.24,17.3,17.03
2010/1/19,17.2,17.18,17.3,17.06
2010/1/20,17.13,16.31,17.3,16.26
2010/1/21,16.3,16.25,16.48,16
2010/1/22,16.19,15.92,16.19,15.6
2010/1/25,15.92,15.91,16.25,15.85
2010/1/26,16,15.05,16.12,14.9
2010/1/27,15.07,14.93,15.25,14.88
2010/1/28,14.93,15.13,15.25,14.9
2010/1/29,15.14,15.42,15.59,15.06
2010/2/1,15.42,15.08,15.42,15.01
2010/2/2,15.06,14.86,15.26,14.81
2010/2/3,14.91,15.04,15.13,14.38
2010/2/4,15.03,15.01,15.17,14.79
2010/2/5,14.5,14.76,14.85,14.45
2010/2/8,14.62,15.04,15.19,14.62
2010/2/9,15.06,14.98,15.4,14.88
2010/2/10,15.03,15.1,15.18,15
2010/2/11,15.1,15.12,15.23,15.1
2010/2/12,15.03,15.12,15.19,15.02
2010/2/22,15.11,14.71,15.11,14.68
2010/2/23,14.7,14.38,14.71,14.2
2010/2/24,14.22,14.64,14.7,14.22
2010/2/25,14.66,15.18,15.27,14.66
2010/2/26,15.1,15.11,15.41,15.05
2010/3/1,15.13,15.19,15.25,15.09
2010/3/2,15.25,15.4,15.5,15.19
2010/3/3,15.4,15.11,15.43,14.98
2010/3/4,15.16,14.52,15.16,14.49
2010/3/5,14.52,14.54,14.64,14.4
2010/3/8,14.57,14.7,14.81,14.45
2010/3/9,14.69,14.61,14.75,14.47
2010/3/10,14.66,14.4,14.66,14.37
2010/3/11,14.37,14.24,14.48,14.19
2010/3/12,14.33,13.99,14.34,13.96
2010/3/15,14.01,13.63,14.01,13.55
2010/3/16,13.6,13.76,13.79,13.51
2010/3/17,13.81,14.15,14.2,13.8
2010/3/18,14.03,14.03,14.2,13.99
2010/3/19,14.07,14.03,14.08,13.88
2010/3/22,14.06,14.04,14.1,13.96
2010/3/23,14.06,14.16,14.33,14.06
2010/3/24,14.16,14.06,14.33,14.03
2010/3/25,14.06,13.96,14.06,13.71
2010/3/26,13.8,14.11,14.13,13.8
2010/3/29,14.22,14.31,14.39,14.1
2010/3/30,14.34,14.26,14.4,14.16
2010/4/1,14.22,14.32,14.33,14.17
2010/4/2,14.33,14.22,14.44,14.18
2010/4/6,14.22,14.18,14.28,14.08
2010/4/7,14.19,14.21,14.27,14.13
2010/4/8,14.26,14.32,14.53,14.2
2010/4/9,14.39,14.81,14.9,14.27
2010/4/12,14.84,15.24,15.3,14.72
2010/4/13,15.23,15.39,15.6,14.66
2010/4/14,15.39,15.63,15.82,15.31
2010/4/15,15.77,15.38,15.77,15.26
2010/4/16,15.38,15.37,15.58,15.01
2010/4/19,15.2,14.89,15.53,14.77
2010/4/20,14.95,15.48,15.5,14.7
2010/4/21,15.48,15.89,15.92,15.4
2010/4/22,15.8,16.01,16.3,15.66
2010/4/23,16,15.51,16.25,15.49
2010/4/26,15.48,15.32,15.8,15.18
2010/4/27,15.04,15.15,15.3,14.77
2010/4/28,15.15,14.97,15.28,14.81
2010/4/29,14.98,13.88,15.2,13.86
2010/4/30,13.81,13.74,13.9,13.02
2010/5/4,13.5,13.72,13.98,13.4
2010/5/5,13.6,13.98,14,13.6
2010/5/6,14,13.29,14.08,13.27
2010/5/7,13,13.18,13.56,12.95
2010/5/10,13.18,13.09,13.28,12.6
2010/5/11,13.38,13,13.59,12.8
2010/5/12,13.01,13.04,13.33,12.86
