Date,Open,High,Low,Close
2010-01-04,1095.2,1123.7,1094.2,1116.1
2010-01-05,1121.2,1128,1114.33,1117.1
2010-01-06,1117.53,1139.45,1115.75,1137.45
2010-01-07,1139.88,1139.88,1127.78,1130.45
2010-01-08,1130.1,1138.5,1118.78,1137
2010-01-11,1138.25,1160.95,1138.25,1150.4
2010-01-12,1148.95,1157.22,1124.13,1127.55
2010-01-13,1128.22,1137.78,1118.03,1136.45
2010-01-14,1136.75,1145.35,1130.15,1140.95
2010-01-15,1143.85,1144.8,1126.2,1130.25
2010-01-18,1130.83,1136.5,1126.75,1132.93
2010-01-19,1133.35,1139.85,1128.08,1137.5
2010-01-20,1136.57,1140.78,1106.4,1111.15
2010-01-21,1117.38,1117.38,1087.8,1093.45
2010-01-22,1093.65,1097.97,1081.43,1092.3
2010-01-25,1092.68,1103.38,1092.07,1097.5
2010-01-26,1098.85,1102.72,1084.88,1097.25
2010-01-27,1097.22,1101.63,1082.8,1087.95
2010-01-28,1086.65,1095.28,1073.28,1085.3
2010-01-29,1085.38,1089.25,1073.9,1080.05
2010-02-01,1080.38,1106.7,1075.75,1105.95
2010-02-02,1106.22,1117.33,1098.2,1113.8
2010-02-03,1114.3,1124.22,1106.28,1109.85
2010-02-04,1109.47,1110.3,1058.85,1064.2
2010-02-05,1063.28,1067.9,1043.72,1065.3
2010-02-08,1065.88,1072.88,1060.95,1061.8
2010-02-09,1061.4,1082.25,1060.9,1077.65
2010-02-10,1077.75,1081.33,1062.55,1070.9
2010-02-11,1072.18,1096.78,1071.65,1092
2010-02-12,1090.3,1096.2,1077.08,1092.55
2010-02-15,1092.03,1101.33,1090.83,1100
2010-02-16,1100.35,1120.1,1097.43,1118
2010-02-17,1118.53,1126.15,1104.45,1108.25
2010-02-18,1107.63,1123.28,1097.13,1108.63
2010-02-19,1106.28,1125.78,1098.68,1118.45
2010-02-22,1121.25,1130.18,1109.28,1112.95
2010-02-23,1112.83,1120.22,1098.58,1102.3
2010-02-24,1102.47,1107.43,1089.22,1095.38
2010-02-25,1095.4,1108.53,1087.43,1106.05
2010-02-26,1106.83,1117.88,1103.47,1116.85
2010-03-01,1118.6,1122.72,1111.22,1116.3
2010-03-02,1116.63,1136.58,1114.03,1133.18
2010-03-03,1133.1,1144.08,1131.43,1139.3
2010-03-04,1138.68,1140.63,1125.33,1131.25
2010-03-05,1131.78,1139.63,1127.03,1133.9
2010-03-08,1135.2,1136.83,1117.78,1123.63
2010-03-09,1122.6,1124.13,1108.97,1120.5
2010-03-10,1120.65,1127.18,1102.53,1107.55
2010-03-11,1107.97,1110.9,1099.72,1108.68
2010-03-12,1108.1,1118.38,1097.93,1100.85
2010-03-15,1102.8,1109.18,1100.63,1108.2
2010-03-16,1108.33,1127.78,1107.53,1126.65
2010-03-17,1126.72,1132.47,1117.47,1119.47
2010-03-18,1121.97,1128.28,1117.28,1126.33
2010-03-19,1125.43,1126.22,1100.45,1105.95
2010-03-22,1103.05,1107.88,1091.72,1101.15
2010-03-23,1101.13,1107.15,1093.68,1104.1
2010-03-24,1103.97,1104.22,1084.28,1085.63
2010-03-25,1085.88,1094.93,1085.53,1089.47
2010-03-26,1088.38,1108.78,1088.18,1106.47
2010-03-29,1110.9,1113.63,1102.47,1108.2
2010-03-30,1109.45,1112.58,1100.83,1102.88
2010-03-31,1103.22,1117.22,1101.58,1112.68
2010-04-01,1112.88,1127.08,1110.72,1125.58
2010-04-02,1125.55,1125.97,1118.1,1119.95
2010-04-05,1123.1,1132.53,1121.8,1129.95
2010-04-06,1130.33,1137.88,1122.03,1133.2
