
沪深300回测 — 统计区间终止于：2025-05-13

起始年    起始日期       累年化收益     累年化方差    累年化标准差    累简单收益       年内收益       年内方差      年内标准差
----------------------------------------------------------------------------------------------------------------------
2010     2010-01-04      0.678546%       0.048090       0.219293      10.521805%     -11.511839%      0.063321       0.251637
2011     2011-01-04      1.477559%       0.047036       0.216878      22.495047%     -26.458454%      0.042425       0.205974
2012     2012-01-04      4.209405%       0.047341       0.217581      69.970636%       9.753127%      0.041503       0.203723
2013     2013-01-04      3.738651%       0.047841       0.218726      54.776760%      -7.700017%      0.049583       0.222672
2014     2014-01-02      4.864373%       0.047720       0.218450      68.270183%      52.185204%      0.037199       0.192870
2015     2015-01-05      0.707756%       0.048621       0.220502       7.295265%       2.456653%      0.155140       0.393878
2016     2016-01-04      1.327907%       0.036762       0.191734      12.629610%      -4.583073%      0.044498       0.210945
2017     2017-01-03      1.959687%       0.035862       0.189372      16.903983%      20.603609%      0.010255       0.101268
2018     2018-01-02     -0.634870%       0.039334       0.198327      -4.408671%     -26.343152%      0.045850       0.214126
2019     2019-01-02      4.589707%       0.038265       0.195613      31.575934%      37.953353%      0.039345       0.198355
2020     2020-01-02     -1.174878%       0.038012       0.194967      -5.901393%      25.505510%      0.051903       0.227822
2021     2021-01-04     -6.894252%       0.034803       0.186555     -25.827493%      -6.214263%      0.034561       0.185907
2022     2022-01-04     -6.898319%       0.034955       0.186962     -20.549355%     -21.272650%      0.041798       0.204446
2023     2023-01-03      0.219549%       0.032105       0.179180       0.496412%     -11.749016%      0.018281       0.135207
2024     2024-01-02     11.656222%       0.042239       0.205520      15.380867%      16.199152%      0.045731       0.213847
2025     2025-01-02      6.887288%       0.030598       0.174924       2.272013%       2.272013%      0.030598       0.174924
									  	 													   
									  	 													   
									  	 													   
50%黄金+50%纳斯达克回测 — 统计区间终止于：2025-05-13                                      
									  	 													   
起始年    起始日期       累年化收益     累年化方差    累年化标准差    累简单收益       年内收益       年内方差      年内标准差
----------------------------------------------------------------------------------------------------------------------
2010     2010-01-04     12.965398%       0.017962       0.134021     548.067073%      23.119274%      0.018486       0.135963
2011     2011-01-03     12.285281%       0.017928       0.133896     426.373373%       7.732173%      0.023893       0.154574
2012     2012-01-03     12.634423%       0.017487       0.132239     388.594410%      12.356729%      0.014412       0.120052
2013     2013-01-02     12.648335%       0.017739       0.133188     334.859946%      -0.829656%      0.017045       0.130558
2014     2014-01-02     13.921202%       0.017800       0.133417     338.497970%       8.268087%      0.008810       0.093861
2015     2015-01-02     14.483270%       0.018672       0.136645     305.011282%      -0.698633%      0.011898       0.109080
2016     2016-01-04     16.240217%       0.019392       0.139256     307.860731%       8.064404%      0.008471       0.092037
2017     2017-01-03     17.261014%       0.020703       0.143885     277.423753%      22.392773%      0.004626       0.068016
2018     2018-01-02     16.569181%       0.022886       0.151281     208.370946%      -0.549973%      0.015079       0.122797
2019     2019-01-02     19.510564%       0.024102       0.155247     210.076283%      28.554768%      0.007532       0.086788
2020     2020-01-02     17.891792%       0.027204       0.164935     141.201698%      38.302494%      0.050431       0.224569
2021     2021-01-04     13.655294%       0.021845       0.147801      74.401553%      11.083816%      0.015309       0.123731
2022     2022-01-03     14.435487%       0.023818       0.154332      56.999966%     -17.085053%      0.035491       0.188390
2023     2023-01-03     31.227756%       0.018680       0.136675      89.350619%      32.743368%      0.012611       0.112297
2024     2024-01-02     29.915439%       0.023166       0.152204      42.644127%      26.753542%      0.016884       0.129937
2025     2025-01-02     39.194674%       0.041111       0.202759      12.536601%      12.536601%      0.041111       0.202759
									  	 													   
									  	 													   
									  	 													   
黄金回测 — 统计区间终止于：2025-05-13                                                
									  	 													   
起始年    起始日期       累年化收益     累年化方差    累年化标准差    累简单收益       年内收益       年内方差      年内标准差
----------------------------------------------------------------------------------------------------------------------
2010     2010-01-04      7.031312%       0.023350       0.152807     191.212705%      27.278022%      0.024467       0.156418
2011     2011-01-03      5.823792%       0.023275       0.152562     129.844070%      10.657662%      0.041527       0.203783
2012     2012-01-03      5.299175%       0.021887       0.147943     102.647642%       4.521535%      0.020988       0.144874
2013     2013-01-02      5.326140%       0.021971       0.148226      92.836759%     -28.559223%      0.045005       0.212144
2014     2014-01-02      8.771075%       0.019903       0.141077     165.880125%      -3.226334%      0.020145       0.141934
2015     2015-01-02      9.958417%       0.019888       0.141024     173.726209%     -10.606367%      0.018605       0.136401
2016     2016-01-04     12.244251%       0.020006       0.141443     202.509726%       7.119190%      0.024043       0.155060
2017     2017-01-03     12.804748%       0.019539       0.139784     180.477123%      12.470444%      0.009943       0.099713
2018     2018-01-02     12.721689%       0.020834       0.144340     146.672055%      -2.661597%      0.009276       0.096310
2019     2019-01-02     15.323000%       0.022646       0.150486     153.184056%      18.194105%      0.012850       0.113358
2020     2020-01-02     14.716356%       0.024482       0.156469     112.552480%      24.168160%      0.037343       0.193244
2021     2021-01-04     12.217791%       0.021463       0.146501      67.297635%      -5.830820%      0.017573       0.132564
2022     2022-01-03     18.714033%       0.022539       0.150130      80.435736%       1.230209%      0.021905       0.148004
2023     2023-01-03     26.558521%       0.022794       0.150975      76.686835%      12.160377%      0.017032       0.130505
2024     2024-01-02     38.657417%       0.027022       0.164385      57.859141%      27.472632%      0.022675       0.150581
2025     2025-01-02     72.468105%       0.039104       0.197748      22.280390%      22.280390%      0.039104       0.197748
									  	 													   
									  	 													   
									  	 													   
纳斯达克回测 — 统计区间终止于：2025-05-13                                           
									  	 													   
起始年    起始日期       累年化收益     累年化方差    累年化标准差    累简单收益       年内收益       年内方差      年内标准差
----------------------------------------------------------------------------------------------------------------------
2010     2010-01-04     17.093883%       0.044357       0.210610    1023.533153%      17.552340%      0.037904       0.194689
2011     2011-01-03     16.929150%       0.044811       0.211686     840.352138%       1.046921%      0.056639       0.237989
2012     2012-01-03     18.046739%       0.043925       0.209583     812.922703%      14.598443%      0.023682       0.153889
2013     2013-01-02     18.015062%       0.045488       0.213279     671.816186%      30.786064%      0.014591       0.120791
2014     2014-01-02     17.032316%       0.048215       0.219579     494.844496%      18.877418%      0.019881       0.141002
2015     2015-01-02     16.871483%       0.050972       0.225769     401.099228%       8.581783%      0.031997       0.178878
2016     2016-01-04     18.061117%       0.052979       0.230171     371.285170%       8.132108%      0.025763       0.160507
