Date,Open,High,Low,Close,Volume
2020-09-04,7.72,7.72,7.355,7.67,21818600
2020-09-07,7.7,7.7,7.26,7.295,10931955
2020-09-08,7.305,7.375,7.04,7.15,3131400
2020-09-09,7.01,7.105,6.93,7.035,3054200
2020-09-10,7.16,7.22,7.03,7.035,2968400
2020-09-11,7.005,7.215,7.005,7.205,2063400
2020-09-14,7.22,7.36,7.22,7.35,2886600
2020-09-15,7.355,7.39,7.305,7.365,954400
2020-09-16,7.4,7.48,7.4,7.44,2587000
2020-09-17,7.435,7.44,7.26,7.3,994800
2020-09-18,7.31,7.39,7.26,7.365,871800
2020-09-21,7.38,7.44,7.2,7.2,1154112
2020-09-22,7.23,7.325,7.18,7.235,1048600
2020-09-23,7.3,7.345,7.26,7.305,390600
2020-09-24,7.295,7.295,7.07,7.095,1611400
2020-09-25,7.12,7.2,6.9,6.945,2801800
2020-09-28,6.965,7.025,6.92,7.005,1213000
2020-09-29,7.06,7.085,6.99,7,1472800
2020-09-30,7,7.165,7,7.1,1557400
2020-10-05,7.155,7.23,7.07,7.125,1042000
2020-10-06,7.15,7.355,7.15,7.33,1553400
2020-10-07,7.33,7.49,7.31,7.47,1601400
2020-10-08,7.5,7.515,7.45,7.5,2247600
2020-10-09,7.515,7.585,7.465,7.5,954492
2020-10-12,7.5,7.74,7.5,7.725,3097600
2020-10-14,7.755,7.805,7.72,7.785,1631200
2020-10-15,7.785,7.785,7.505,7.54,1704600
2020-10-16,7.57,7.67,7.54,7.6,1103200
2020-10-19,7.66,7.71,7.555,7.56,701200
2020-10-20,7.58,7.64,7.515,7.635,873400
2020-10-21,7.7,7.73,7.615,7.635,1772600
2020-10-22,7.63,7.63,7.51,7.61,653000
2020-10-23,7.61,7.61,7.46,7.485,1008561
2020-10-27,7.48,7.6,7.46,7.535,590800
2020-10-28,7.58,7.685,7.52,7.63,651000
2020-10-29,7.585,7.715,7.485,7.665,872200
2020-10-30,7.65,7.76,7.505,7.545,1637600
2020-11-02,7.61,7.625,7.475,7.625,1635600
2020-11-03,7.64,7.76,7.635,7.72,1070000
2020-11-04,7.6,7.8,7.585,7.735,886200
2020-11-05,7.9,8.15,7.9,8.125,3315600
2020-11-06,8.15,8.205,8,8.095,2281810
2020-11-09,8.2,8.5,8.2,8.4,2816200
2020-11-10,8.37,8.37,7.87,7.965,6682200
2020-11-11,7.8,7.825,7.485,7.5,8325400
2020-11-12,7.655,7.825,7.655,7.72,4140400
2020-11-13,7.735,7.945,7.735,7.9,2291600
2020-11-16,7.995,8.08,7.91,8.06,2724400
2020-11-17,8.04,8.04,7.85,7.935,1693400
2020-11-18,7.935,7.995,7.9,7.96,1387800
2020-11-19,7.94,7.945,7.8,7.9,712600
2020-11-20,7.905,8.04,7.905,7.98,1511913
2020-11-23,8.045,8.105,8.04,8.1,1967800
2020-11-24,8.11,8.165,8.045,8.11,1548200
2020-11-25,8.11,8.17,7.875,7.925,2388000
2020-11-26,7.97,8.045,7.945,8.04,1164600
2020-11-27,8.055,8.135,8.05,8.105,1017600
2020-11-30,8.105,8.14,8.01,8.025,1382740
2020-12-01,8.035,8.065,7.96,7.975,2021000
2020-12-02,7.975,7.98,7.81,7.86,2269400
2020-12-03,7.87,7.96,7.87,7.93,1973722
2020-12-04,7.93,8,7.925,7.99,1769200
2020-12-07,8.01,8.02,7.85,7.95,4149946
2020-12-08,7.985,8.12,7.925,8.08,2149000
2020-12-09,8.125,8.205,8.075,8.1,1812400
2020-12-10,8,8.03,7.96,8.03,2261200
2020-12-11,8.1,8.135,8.04,8.105,1470000
2020-12-14,8.09,8.135,8.015,8.13,2078400
2020-12-15,8.13,8.13,8.02,8.065,1680000
2020-12-16,8.12,8.135,8.07,8.13,2654800
2020-12-17,8.15,8.32,8.15,8.315,2662000
2020-12-18,8.315,8.33,8.225,8.24,706200
2020-12-21,8.24,8.27,8.185,8.195,1485972
2020-12-22,8.15,8.235,8.09,8.14,3220400
2020-12-23,8.2,8.46,8.2,8.42,4393000
2020-12-24,8.42,8.42,8.135,8.17,3210200
2020-12-28,8.17,8.18,7.79,7.825,8997800
2020-12-29,7.925,8.065,7.925,7.995,2622200
2020-12-30,8.065,8.3,8.065,8.29,3792000
2020-12-31,8.325,8.43,8.315,8.39,1961600
2021-01-04,8.385,8.525,8.35,8.475,2707000
2021-01-05,8.465,8.485,8.37,8.425,2093400
2021-01-06,8.5,8.67,8.5,8.62,3608400
2021-01-07,8.61,8.61,8.3,8.385,5310200
2021-01-08,8.45,8.68,8.44,8.61,2869310
2021-01-11,8.61,8.81,8.6,8.655,3919400
2021-01-12,8.65,8.735,8.61,8.69,1568000
2021-01-13,8.76,8.79,8.595,8.635,3237800
2021-01-14,8.64,8.87,8.64,8.86,4112600
2021-01-15,8.9,8.9,8.64,8.76,4036200
2021-01-18,8.695,9.09,8.675,9.09,4870600
2021-01-19,9.25,9.52,9.205,9.35,12672800
2021-01-20,9.41,9.86,9.41,9.84,14322600
2021-01-21,9.9,9.965,9.725,9.78,8219800
2021-01-22,9.78,9.93,9.695,9.755,4621735
2021-01-25,9.835,10.2,9.83,10.18,9808600
2021-01-26,10.2,10.25,9.84,9.97,8405000
2021-01-27,10.03,10.04,9.61,9.825,8195200
2021-01-28,9.75,9.76,9.33,9.355,11228200
2021-01-29,9.5,9.68,9.27,9.375,6989000
2021-02-01,9.365,9.755,9.365,9.72,7545400
2021-02-02,9.825,10.07,9.825,9.95,8028000
2021-02-03,9.965,10.09,9.88,10.09,3564000
2021-02-04,10.17,10.17,9.66,9.855,5659000
2021-02-05,9.86,9.96,9.75,9.79,3374147
2021-02-08,9.8,9.915,9.715,9.73,3618600
2021-02-09,9.94,9.94,9.76,9.915,2154400
2021-02-10,9.955,10.18,9.955,10.15,4624600
2021-02-11,10.12,10.34,10.05,10.32,3556600
2021-02-16,10.5,10.77,10.5,10.67,7649700
2021-02-17,10.66,10.92,10.53,10.92,3609800
2021-02-18,10.95,10.96,10.52,10.52,6027000
2021-02-19,10.5,10.53,10.2,10.5,5818600
2021-02-22,10.6,10.62,9.975,9.99,8960600
2021-02-23,9.805,9.965,9.63,9.865,9606999
2021-02-24,9.87,9.955,9.21,9.34,15662200
2021-02-25,9.46,9.635,9.38,9.495,8889400
2021-02-26,9.255,9.255,8.93,8.995,17233200
2021-03-01,9.2,9.29,9.13,9.26,9170600
2021-03-02,9.38,9.59,9.2,9.24,8284400
2021-03-03,9.2,9.345,9.09,9.325,3982772
2021-03-04,9.235,9.235,8.8,8.845,10189000
2021-03-05,8.695,8.755,8.375,8.615,9274898
2021-03-08,8.78,8.78,8.03,8.08,16667710
2021-03-09,8.01,8.305,7.7,8.035,18649600
2021-03-10,8.6,8.6,8.15,8.22,9733200
2021-03-11,8.25,8.62,8.21,8.62,8832200
2021-03-12,8.805,8.845,8.405,8.445,9367000
2021-03-15,8.45,8.59,8.15,8.23,6302252
2021-03-16,8.325,8.525,8.325,8.49,5945200
2021-03-17,8.495,8.6,8.385,8.52,4623400
2021-03-18,8.565,8.78,8.565,8.61,5200400
2021-03-19,8.475,8.56,8.36,8.48,4154669
2021-03-22,8.495,8.61,8.415,8.465,2008400
2021-03-23,8.62,8.62,8.2,8.27,4714600
2021-03-24,8.27,8.3,7.98,8.05,8722900
2021-03-25,7.895,7.975,7.645,7.9,8711200
2021-03-26,7.98,8.185,7.94,8.085,4420200
2021-03-29,8.1,8.2,7.885,7.925,4404400
2021-03-30,8,8.195,8,8.13,3454800
2021-03-31,8.2,8.295,8.11,8.14,1811400
2021-04-01,8.205,8.53,8.205,8.515,5666600
2021-04-07,8.535,8.62,8.375,8.39,3634400
2021-04-08,8.375,8.48,8.3,8.415,2517400
2021-04-09,8.5,8.5,8.22,8.27,3192800
2021-04-12,8.31,8.34,8.115,8.125,3865660
2021-04-13,8.145,8.195,7.995,8,3798960
2021-04-14,8.155,8.255,8.135,8.185,3256800
2021-04-15,8.135,8.145,7.99,8.095,2065000
2021-04-16,8.1,8.21,8.075,8.2,2549000
2021-04-19,8.195,8.35,8.095,8.3,2743000
2021-04-20,8.29,8.315,8.2,8.24,1871200
2021-04-21,8.23,8.23,8.07,8.155,2204600
2021-04-22,8.2,8.27,8.16,8.225,1342000
2021-04-23,8.225,8.45,8.225,8.42,4151000
2021-04-26,8.5,8.56,8.415,8.43,3259326
2021-04-27,8.425,8.52,8.395,8.455,1041400
2021-04-28,8.46,8.51,8.445,8.47,893200
2021-04-29,8.51,8.55,8.435,8.455,1228400
2021-04-30,8.45,8.45,8.255,8.255,2464600
2021-05-03,8.26,8.26,8.155,8.18,1059400
2021-05-04,8.19,8.25,8.15,8.23,559800
2021-05-05,8.18,8.195,8.065,8.065,2648241
2021-05-06,8.15,8.19,8.03,8.08,1803200
2021-05-07,8.13,8.13,7.915,7.92,4550489
2021-05-10,7.935,8.03,7.82,7.855,5167800
2021-05-11,7.795,7.795,7.515,7.61,10442800
2021-05-12,7.7,7.84,7.695,7.815,5352400
2021-05-13,7.72,7.72,7.58,7.6,5202800
2021-05-14,7.6,7.6,7.425,7.55,4210600
2021-05-17,7.655,7.71,7.58,7.65,3976600
2021-05-18,7.685,7.79,7.685,7.79,2035000
2021-05-20,7.79,7.9,7.75,7.88,1806000
2021-05-21,7.96,7.995,7.91,7.965,2229800
2021-05-24,7.97,7.97,7.77,7.85,1761125
2021-05-25,7.865,7.99,7.825,7.975,2323600
2021-05-26,8,8.055,7.97,8.025,2905461
