Date,Open,High,Low,Close,Volume
2019-01-18,0.998,1.004,0.995,1.003,324458260
2019-01-21,1.003,1.009,1.002,1.003,76552330
2019-01-22,1.004,1.006,0.999,1,15059930
2019-01-23,1.001,1.005,0.999,1.003,17436810
2019-01-24,1.004,1.008,1.002,1.006,31015860
2019-01-25,1.006,1.017,1.006,1.011,24566170
2019-01-28,1.014,1.022,1.009,1.012,8714000
2019-01-29,1.009,1.017,1.002,1.016,7670370
2019-01-30,1.013,1.022,1.011,1.015,11067970
2019-01-31,1.015,1.024,1.014,1.017,8690730
2019-02-01,1.019,1.028,1.018,1.026,12423700
2019-02-11,1.026,1.038,1.026,1.038,10024400
2019-02-12,1.038,1.044,1.034,1.041,12129980
2019-02-13,1.042,1.055,1.038,1.052,15119350
2019-02-14,1.053,1.055,1.046,1.051,16773470
2019-02-15,1.051,1.051,1.032,1.032,20412900
2019-02-18,1.034,1.054,1.034,1.053,67467300
2019-02-19,1.051,1.06,1.046,1.051,18649720
2019-02-20,1.053,1.057,1.048,1.054,8342510
2019-02-21,1.054,1.061,1.045,1.046,11096210
2019-02-22,1.045,1.055,1.038,1.055,6756410
2019-02-25,1.055,1.101,1.055,1.099,11467900
2019-02-26,1.098,1.102,1.071,1.089,8912300
2019-02-27,1.088,1.102,1.082,1.091,6347200
2019-02-28,1.088,1.097,1.085,1.087,6566300
2019-03-01,1.086,1.1,1.084,1.1,5005790
2019-03-04,1.1,1.131,1.1,1.115,6272180
2019-03-05,1.114,1.127,1.108,1.127,6102400
2019-03-06,1.123,1.135,1.121,1.135,6781340
2019-03-07,1.135,1.135,1.12,1.13,6038280
2019-03-08,1.127,1.127,1.087,1.088,5181180
2019-03-11,1.088,1.107,1.087,1.095,4072600
2019-03-12,1.097,1.124,1.097,1.113,3388800
2019-03-13,1.113,1.121,1.107,1.11,5967450
2019-03-14,1.109,1.118,1.093,1.097,5794600
2019-03-15,1.097,1.126,1.097,1.117,4102300
2019-03-18,1.115,1.152,1.115,1.152,3723200
2019-03-19,1.152,1.161,1.142,1.15,2307000
2019-03-20,1.147,1.155,1.138,1.153,3415500
2019-03-21,1.131,1.161,1.131,1.151,2455200
2019-03-22,1.153,1.162,1.145,1.157,3300400
2019-03-25,1.154,1.162,1.147,1.149,1732300
2019-03-26,1.149,1.157,1.128,1.133,2320600
2019-03-27,1.135,1.149,1.128,1.146,4371600
2019-03-28,1.145,1.146,1.135,1.14,1897900
2019-03-29,1.137,1.17,1.135,1.17,3874000
2019-04-01,1.2,1.2,1.171,1.192,4601900
2019-04-02,1.192,1.203,1.191,1.192,1501400
2019-04-03,1.188,1.21,1.188,1.205,2161000
2019-04-04,1.206,1.224,1.206,1.223,1338500
2019-04-08,1.223,1.234,1.209,1.223,4119200
2019-04-09,1.217,1.229,1.216,1.226,1415600
2019-04-10,1.218,1.237,1.217,1.232,1710300
2019-04-11,1.232,1.232,1.214,1.215,3053500
2019-04-12,1.217,1.217,1.202,1.21,1279500
2019-04-15,1.222,1.259,1.209,1.209,4366000
2019-04-16,1.209,1.221,1.187,1.219,4616900
2019-04-17,1.23,1.23,1.217,1.225,1489900
2019-04-18,1.216,1.225,1.213,1.213,4273030
2019-04-19,1.215,1.225,1.206,1.221,2561100
2019-04-22,1.22,1.22,1.189,1.192,2036500
2019-04-23,1.196,1.202,1.18,1.18,3754000
2019-04-24,1.18,1.186,1.173,1.186,3769000
2019-04-25,1.186,1.186,1.15,1.154,2985300
2019-04-26,1.153,1.154,1.13,1.14,11200100
2019-04-29,1.14,1.154,1.14,1.14,1696920
2019-04-30,1.143,1.156,1.143,1.153,1289010
2019-05-06,1.1,1.165,1.084,1.11,10945800
2019-05-07,1.11,1.114,1.098,1.11,3544900
2019-05-08,1.099,1.11,1.089,1.098,1935400
2019-05-09,1.1,1.108,1.081,1.083,2674000
2019-05-10,1.094,1.116,1.086,1.116,4329070
2019-05-13,1.1,1.109,1.097,1.106,1925100
2019-05-14,1.102,1.108,1.051,1.099,1848990
2019-05-15,1.091,1.118,1.091,1.114,2424900
2019-05-16,1.105,1.121,1.105,1.121,1505800
2019-05-17,1.12,1.12,1.096,1.098,2516900
2019-05-20,1.095,1.095,1.079,1.086,2580200
2019-05-21,1.086,1.106,1.084,1.1,1524800
2019-05-22,1.099,1.102,1.092,1.095,2187200
2019-05-23,1.086,1.091,1.08,1.083,3646000
2019-05-24,1.073,1.091,1.073,1.086,1402800
2019-05-27,1.087,1.102,1.08,1.102,2976400
2019-05-28,1.102,1.11,1.1,1.1,848500
2019-05-29,1.1,1.106,1.098,1.1,888400
2019-05-30,1.098,1.107,1.096,1.103,2581900
2019-05-31,1.1,1.113,1.1,1.103,10191440
2019-06-03,1.104,1.115,1.098,1.104,1087600
2019-06-04,1.104,1.104,1.094,1.094,593400
2019-06-05,1.103,1.108,1.099,1.099,1110700
2019-06-06,1.099,1.099,1.092,1.093,931400
2019-06-10,1.102,1.105,1.092,1.101,775800
2019-06-11,1.107,1.126,1.107,1.123,601580
2019-06-12,1.119,1.119,1.114,1.117,1793000
2019-06-13,1.112,1.115,1.105,1.112,440600
2019-06-14,1.112,1.112,1.102,1.103,1000400
2019-06-17,1.101,1.107,1.099,1.103,1496600
2019-06-18,1.104,1.106,1.101,1.105,1893400
2019-06-19,1.116,1.122,1.115,1.115,2574300
2019-06-20,1.115,1.138,1.113,1.133,1394100
