日期,类型,金额,佣金,印花税,过户费,股价
2019-01-15,卖出,50000,5.0,50.0,1.0,24.26
2019-03-18,卖出,50000,5.0,50.0,1.0,30.95
2019-05-06,买入,50000,5.0,0.0,1.0,26.42
2019-11-18,买入,50000,5.0,0.0,1.0,29.25
2020-02-03,买入,50000,5.0,0.0,1.0,25.81
2020-02-28,买入,50000,5.0,0.0,1.0,23.76
2020-04-29,买入,50000,5.0,0.0,1.0,23.95
2020-07-01,卖出,50000,5.0,50.0,1.0,40.93
2020-07-14,卖出,50000,5.0,50.0,1.0,43.85
2020-07-24,买入,50000,5.0,0.0,1.0,35.28
2020-08-20,买入,50000,5.0,0.0,1.0,32.26
2020-08-28,卖出,50000,5.0,50.0,1.0,37.06
2021-05-20,卖出,50000,5.0,50.0,1.0,171.69
2021-05-24,卖出,50000,5.0,50.0,1.0,188.92
2021-05-31,卖出,50000,5.0,50.0,1.0,195.13
2021-06-01,卖出,50000,5.0,50.0,1.0,212.91
2021-06-07,卖出,50000,5.0,50.0,1.0,254.88
2021-06-15,卖出,50000,5.0,50.0,1.0,224.15
2021-06-17,卖出,50000,5.0,50.0,1.0,240.99
2021-07-01,卖出,50000,5.0,50.0,1.0,229.95
2021-07-13,卖出,50000,5.0,50.0,1.0,213.4
2021-07-15,卖出,50000,5.0,50.0,1.0,244.75
2021-08-02,卖出,50000,5.0,50.0,1.0,199.0
2021-08-10,卖出,50000,5.0,50.0,1.0,216.65
2021-09-23,卖出,50000,5.0,50.0,1.0,200.88
2022-03-10,卖出,50000,5.0,50.0,1.0,185.62
2022-05-20,卖出,50000,5.0,50.0,1.0,153.1
2022-05-31,卖出,50000,5.0,50.0,1.0,168.09
2022-06-30,卖出,50000,5.0,50.0,1.0,203.99
2022-08-25,卖出,50000,5.0,50.0,1.0,163.45
2022-11-01,卖出,50000,5.0,50.0,1.0,128.59
2022-12-01,卖出,50000,5.0,50.0,1.0,158.38
2023-01-30,卖出,50000,5.0,50.0,1.0,182.5
2023-07-13,卖出,50000,5.0,50.0,1.0,134.28
2023-07-25,卖出,50000,5.0,50.0,1.0,140.45
2023-09-04,卖出,50000,5.0,50.0,1.0,149.85
2023-12-28,卖出,50000,5.0,50.0,1.0,95.28
2024-02-21,卖出,50000,5.0,50.0,1.0,81.24
2024-05-06,卖出,50000,5.0,50.0,1.0,78.36
2024-08-22,买入,50000,5.0,0.0,1.0,45.5
2024-09-26,卖出,50000,5.0,50.0,1.0,49.48
2024-09-27,卖出,50000,5.0,50.0,1.0,54.43
2024-09-30,卖出,50000,5.0,50.0,1.0,59.87
2024-10-08,卖出,50000,5.0,50.0,1.0,65.86
2024-11-07,卖出,50000,5.0,50.0,1.0,78.52
2025-03-14,卖出,50000,5.0,50.0,1.0,59.59
2025-08-20,卖出,50000,5.0,50.0,1.0,62.7
2025-08-25,卖出,50000,5.0,50.0,1.0,67.0
