日期,总资产,现金,股票市值,股价
2019-01-02,1000000.0,500000.0,500000.0,22.58
2019-01-03,1000000.0,500000.0,500000.0,21.65
2019-01-04,979406.554472985,500000.0,479406.554472985,22.55
2019-01-07,999335.6953055803,500000.0,499335.6953055802,22.4
2019-01-08,996014.1718334809,500000.0,496014.171833481,22.2
2019-01-09,991585.4738706821,500000.0,491585.47387068206,22.54
2019-01-10,999114.2604074404,500000.0,499114.2604074403,22.21
2019-01-11,991806.9087688221,500000.0,491806.9087688221,22.46
2019-01-14,997342.7812223207,500000.0,497342.78122232074,22.05
2019-01-15,988263.950398583,500000.0,488263.9503985829,24.26
2019-01-16,1037145.0628875112,549944.0,487201.0628875112,25.13
2019-01-17,1054616.8240050767,549944.0,504672.82400507655,25.11
2019-01-18,1054215.174324213,549944.0,504271.174324213,25.23
2019-01-21,1056625.0724093944,549944.0,506681.07240939443,25.29
2019-01-22,1057830.021451985,549944.0,507886.02145198506,24.6
2019-01-23,1043973.107462192,549944.0,494029.1074621919,24.75
2019-01-24,1046985.4800686687,549944.0,497041.48006866866,25.32
2019-01-25,1058432.4959732804,549944.0,508488.4959732804,24.85
2019-01-28,1048993.7284729865,549944.0,499049.7284729865,24.95
2019-01-29,1051001.9768773043,549944.0,501057.97687730426,24.69
2019-01-30,1045780.5310260779,549944.0,495836.53102607786,23.93
2019-01-31,1030517.843153262,549944.0,480573.8431532621,24.37
2019-02-01,1039354.1361322606,549944.0,489410.1361322606,24.33
2019-02-11,1038550.8367705334,549944.0,488606.8367705334,25.38
2019-02-12,1059637.445015871,549944.0,509693.4450158709,25.63
2019-02-13,1064658.0660266655,549944.0,514714.0660266655,25.79
2019-02-14,1067871.263473574,549944.0,517927.26347357413,26.86
2019-02-15,1089359.521399775,549944.0,539415.5213997752,26.18
2019-02-18,1075703.4322504138,549944.0,525759.4322504138,27.1
2019-02-19,1094179.3175701383,549944.0,544235.3175701381,26.55
2019-02-20,1083133.95134639,549944.0,533189.95134639,26.26
2019-02-21,1077310.0309738682,549944.0,527366.0309738682,26.13
2019-02-22,1074699.3080482548,549944.0,524755.3080482549,26.26
2019-02-25,1077310.0309738682,549944.0,527366.0309738682,27.32
2019-02-26,1098597.4640596374,549944.0,548653.4640596375,26.9
2019-02-27,1090162.8207615025,549944.0,540218.8207615025,27.8
2019-02-28,1108237.0564003633,549944.0,558293.0564003632,28.0
2019-03-01,1112253.5532089989,549944.0,562309.5532089989,28.78
2019-03-04,1127917.890762678,549944.0,577973.8907626781,28.61
2019-03-05,1124503.8684753377,549944.0,574559.8684753377,28.44
2019-03-06,1121089.8461879974,549944.0,571145.8461879974,28.26
2019-03-07,1117474.9990602252,549944.0,567530.9990602252,27.74
2019-03-08,1107032.1073577723,549944.0,557088.1073577723,27.12
2019-03-11,1094580.9672510016,549944.0,544636.9672510016,27.99
2019-03-12,1112052.7283685668,549944.0,562108.728368567,27.8
2019-03-13,1108237.056400363,549944.0,558293.0564003631,27.7
2019-03-14,1106228.8079960453,549944.0,556284.8079960452,27.85
2019-03-15,1109241.180602522,549944.0,559297.180602522,28.75
2019-03-18,1127315.4162413827,549944.0,577371.4162413826,30.95
2019-03-19,1171440.8811363752,599888.0,571552.8811363752,29.92
2019-03-20,1152419.8967237594,599888.0,552531.8967237592,30.31
2019-03-21,1159622.0170353323,599888.0,559734.0170353323,29.77
2019-03-22,1149649.8504500773,599888.0,549761.8504500773,30.05
2019-03-25,1154820.6034942837,599888.0,554932.6034942836,29.14
2019-03-26,1138015.656100613,599888.0,538127.6561006132,29.34
2019-03-27,1141709.051132189,599888.0,541821.0511321891,30.99
2019-03-28,1172179.5601426905,599888.0,572291.5601426905,30.74
2019-03-29,1167562.8163532205,599888.0,567674.8163532206,32.2
2019-04-01,1194524.600083725,599888.0,594636.6000837251,33.57
2019-04-02,1219824.35605002,599888.0,619936.3560500201,33.72
2019-04-03,1222594.402323702,599888.0,622706.4023237019,33.56
2019-04-04,1219639.6862984411,599888.0,619751.6862984413,33.76
2019-04-08,1223333.0813300172,599888.0,623445.0813300171,33.03
2019-04-09,1209852.189464765,599888.0,609964.1894647649,33.33
2019-04-10,1215392.2820121287,599888.0,615504.2820121287,33.46
2019-04-11,1217792.9887826531,599888.0,617904.9887826531,31.52
2019-04-12,1181967.0569763666,599888.0,582079.0569763666,31.31
2019-04-15,1178088.9921932118,599888.0,578200.9921932118,30.6
2019-04-16,1164977.4398311172,599888.0,565089.4398311173,31.28
2019-04-17,1177534.9829384754,599888.0,577646.9829384754,31.69
2019-04-18,1185106.442753206,599888.0,585218.442753206,31.74
2019-04-19,1186029.7915111,599888.0,586141.7915111,31.44
2019-04-22,1180489.6989637362,599888.0,580601.6989637362,30.84
2019-04-23,1169409.5138690085,599888.0,569521.5138690084,31.22
2019-04-24,1176426.9644290027,599888.0,576538.9644290026,30.72
2019-04-25,1167193.4768500628,599888.0,567305.4768500628,30.52
2019-04-26,1163500.081818487,599888.0,563612.0818184869,29.05
2019-04-29,1136353.628336404,599888.0,536465.6283364039,29.22
2019-04-30,1139493.0141132434,599888.0,539605.0141132434,29.35
2019-05-06,1141893.7208837678,599888.0,542005.7208837678,26.42
2019-05-07,1087779.4836711804,549888.0,537891.4836711804,26.6
2019-05-08,1091444.1493434291,549888.0,541556.1493434292,26.7
2019-05-09,1093480.0747169007,549888.0,543592.0747169007,25.76
2019-05-10,1074342.3762062683,549888.0,524454.3762062683,27.3
2019-05-13,1105695.62695773,549888.0,555807.6269577299,27.01
2019-05-14,1099791.4433746624,549888.0,549903.4433746624,26.91
2019-05-15,1097755.5180011909,549888.0,547867.5180011909,28.44
2019-05-16,1128905.1762153055,549888.0,579017.1762153053,28.54
2019-05-17,1130941.1015887768,549888.0,581053.1015887768,27.55
2019-05-20,1110785.4403914087,549888.0,560897.4403914086,26.92
2019-05-21,1097959.110538538,549888.0,548071.110538538,27.48
2019-05-22,1109360.2926299786,549888.0,559472.2926299785,27.2
2019-05-23,1103659.7015842581,549888.0,553771.7015842581,26.01
2019-05-24,1079432.189639947,549888.0,529544.1896399468,26.29
2019-05-27,1085132.780685667,549888.0,535244.7806856671,26.59
2019-05-28,1091240.5568060817,549888.0,541352.5568060817,26.48
2019-05-29,1089001.0388952629,549888.0,539113.038895263,26.87
2019-05-30,1096941.147851802,549888.0,547053.147851802,26.72
2019-05-31,1093887.2597915945,549888.0,543999.2597915946,26.22
2019-06-03,1083707.6329242368,549888.0,533819.6329242369,26.14
2019-06-04,1082078.8926254597,549888.0,532190.8926254597,25.51
2019-06-05,1069252.562772589,549888.0,519364.56277258904,25.28
2019-06-06,1064569.9344136044,549888.0,514681.9344136045,24.2
2019-06-10,1042581.9403801118,549888.0,492693.94038011186,24.49
2019-06-11,1048486.1239631793,549888.0,498598.12396317924,25.32
2019-06-12,1065384.3045629929,549888.0,515496.304562993,24.8
2019-06-13,1054797.492620941,549888.0,504909.492620941,24.68
2019-06-14,1052354.3821727752,549888.0,502466.38217277516,24.25
2019-06-17,1043599.9030668475,549888.0,493711.90306684753,23.97
2019-06-18,1037899.3120211272,549888.0,488011.3120211272,23.92
2019-06-19,1036881.3493343915,549888.0,486993.3493343915,24.42
2019-06-20,1047060.9762017492,549888.0,497172.9762017492,25.38
2019-06-21,1066605.8597870758,549888.0,516717.85978707584,26.03
2019-06-24,1079839.374714641,549888.0,529951.3747146408,26.36
2019-06-25,1086557.9284470966,549888.0,536669.9284470967,26.09
2019-06-26,1081060.9299387236,549888.0,531172.9299387236,26.07
2019-06-27,1080653.7448640293,549888.0,530765.7448640292,27.11
2019-06-28,1101827.368748133,549888.0,551939.3687481332,27.18
2019-07-01,1103252.5165095632,549888.0,553364.5165095633,28.09
2019-07-02,1121779.4374081544,549888.0,571891.4374081542,28.31
2019-07-03,1126258.4732297915,549888.0,576370.4732297916,28.3
2019-07-04,1126054.8806924445,549888.0,576166.8806924445,27.65
2019-07-05,1112821.3657648796,549888.0,562933.3657648795,29.43
2019-07-08,1149060.8374126728,549888.0,599172.8374126728,29.2
2019-07-09,1144378.2090536882,549888.0,594490.2090536883,29.9
2019-07-10,1158629.686667989,549888.0,608741.6866679891,29.55
2019-07-11,1151503.9478608388,549888.0,601615.9478608388,28.97
2019-07-12,1139695.5806947039,549888.0,589807.5806947039,28.95
2019-07-15,1139288.3956200096,549888.0,589400.3956200096,28.55
2019-07-16,1131144.6941261236,549888.0,581256.6941261234,28.82
2019-07-17,1136641.6926344966,549888.0,586753.6926344966,28.16
2019-07-18,1123204.5851695845,549888.0,573316.5851695845,27.46
2019-07-19,1108953.1075552837,549888.0,559065.1075552838,27.55
2019-07-22,1110785.4403914083,549888.0,560897.4403914082,26.87
2019-07-23,1096941.1478518017,549888.0,547053.1478518017,26.75
2019-07-24,1094498.037403636,549888.0,544610.0374036359,26.71
2019-07-25,1093683.6672542472,549888.0,543795.6672542472,27.47
2019-07-26,1109156.700092631,549888.0,559268.7000926308,27.37
2019-07-29,1107120.7747191594,549888.0,557232.7747191594,27.6
2019-07-30,1111803.403078144,549888.0,561915.4030781438,27.47
2019-07-31,1109156.700092631,549888.0,559268.7000926308,26.65
2019-08-01,1092462.1120301643,549888.0,542574.1120301642,26.26
2019-08-02,1084522.0030736253,549888.0,534634.0030736253,26.01
2019-08-05,1079432.1896399464,549888.0,529544.1896399464,25.75
2019-08-06,1074138.7836689204,549888.0,524250.78366892046,25.8
2019-08-07,1075156.7463556563,549888.0,525268.7463556563,25.56
2019-08-08,1070270.5254593245,549888.0,520382.5254593246,26.04
2019-08-09,1080042.9672519881,549888.0,530154.967251988,26.04
2019-08-12,1080042.9672519881,549888.0,530154.967251988,26.74
2019-08-13,1094294.444866289,549888.0,544406.4448662888,26.46
2019-08-14,1088593.8538205684,549888.0,538705.8538205685,26.93
2019-08-15,1098162.7030758848,549888.0,548274.7030758847,26.58
2019-08-16,1091036.9642687342,549888.0,541148.9642687343,26.58
2019-08-19,1091036.9642687342,549888.0,541148.9642687343,27.13
2019-08-20,1102234.5538228278,549888.0,552346.5538228278,27.34
2019-08-21,1106509.997107118,549888.0,556621.9971071179,27.05
2019-08-22,1100605.8135240504,549888.0,550717.8135240504,27.54
2019-08-23,1110581.847854061,549888.0,560693.8478540609,27.25
2019-08-26,1104677.6642709933,549888.0,554789.6642709934,26.85
2019-08-27,1096533.9627771073,549888.0,546645.9627771073,26.85
2019-08-28,1096533.9627771073,549888.0,546645.9627771073,27.17
2019-08-29,1103048.9239722162,549888.0,553160.9239722162,26.9
2019-08-30,1097551.925463843,549888.0,547663.9254638429,27.49
2019-09-02,1109563.885167325,549888.0,559675.8851673249,27.9
2019-09-03,1117911.1791985582,549888.0,568023.1791985582,27.67
2019-09-04,1113228.5508395736,549888.0,563340.5508395737,27.38
2019-09-05,1107324.3672565063,549888.0,557436.3672565062,27.53
2019-09-06,1110378.2553167136,549888.0,560490.2553167136,27.43
2019-09-09,1108342.329943242,549888.0,558454.329943242,28.48
2019-09-10,1129719.5463646932,549888.0,579831.5463646932,28.7
2019-09-11,1134198.5821863306,549888.0,584310.5821863306,27.63
2019-09-12,1112414.1806901852,549888.0,562526.1806901852,27.78
